class,type,name,showif,value,label,optional,,
mc_vertical answer_below_label,mc comuna_5,comuna_P04_5,region_P04==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P04_6,region_P04==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P04_7,region_P04==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P04_8,region_P04==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P04_9,region_P04==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P04_10,region_P04==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P04_11,region_P04==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P04_12,region_P04==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P04_13,region_P04==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P04_14,region_P04==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P04_15,region_P04==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P04_16,region_P04==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P04,count_SN3 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P04_esp,vinculo_P04 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P04,count_SN3 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P04,count_SN3 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P04_esp,"cuidado_P04==7| cuidado_P04 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P04,count_SN3 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P04,count_SN3 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona05,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN4,count_SN3 > 1,1,¿Quiere añadir otra persona?,,,
,note,p5,count_SN4 > 1,,**Persona 5**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P05,count_SN4 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P05,count_SN4 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P05,count_SN4 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P05,count_SN4 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P05,count_SN4 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P05,count_SN4 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P05_1,region_P05==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P05_2,region_P05==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P05_3,region_P05==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P05_4,region_P05==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P05_5,region_P05==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P05_6,region_P05==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P05_7,region_P05==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P05_8,region_P05==8,,¿En qué comuna reside?,,,
